MSSubClass,MSZoning,LotArea,YearBuilt,OverallQual,OverallCond,ExterQual,Foundation,TotalBsmtSF,GrLivArea,GarageCars,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
40,RH,4389,1966,4,9,Ex,PConc,2053,676,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1951,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2293,0,0,0,0,2,0,4,1,TA,3,Typ,0,,Attchd,2015,RFn,211,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2007,WD,Normal,359356.283951538
90,RL,14629,1903,7,8,Gd,PConc,636,2764,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1966,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1158,0,0,0,0,3,1,5,1,TA,7,Typ,0,,Attchd,1968,RFn,595,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2008,WD,Normal,529240.2337251429
60,RM,3430,1957,4,8,Po,BrkTil,313,1534,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2012,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1165,0,0,0,0,2,1,4,1,TA,3,Typ,1,,Attchd,1994,RFn,684,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2010,WD,Normal,408976.05568637844
50,RM,1458,1924,3,8,Po,PConc,564,1969,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1943,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,866,0,0,0,0,3,1,5,1,TA,5,Typ,1,,Attchd,2014,RFn,182,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD,Normal,411758.4432991944
90,RM,14395,1946,9,8,Po,PConc,1601,1129,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1931,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1049,0,0,0,0,1,1,4,1,TA,6,Typ,1,,Attchd,1976,RFn,132,TA,TA,Y,0,0,0,0,0,0,,,,0,12,2010,WD,Normal,477631.0892708453
90,C,1207,1937,8,7,Gd,Slab,825,663,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1909,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1142,0,0,0,0,2,1,2,1,TA,9,Typ,2,,Attchd,1942,RFn,799,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2007,WD,Normal,441683.99279457954
40,RH,1899,1914,1,8,Po,PConc,2553,2600,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1963,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2393,0,0,0,0,3,1,4,1,TA,3,Typ,1,,Attchd,1900,RFn,773,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2007,WD,Normal,403286.73982155346
70,RH,12653,1962,7,8,TA,PConc,1105,2765,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2003,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,754,0,0,0,0,3,1,2,1,TA,3,Typ,2,,Attchd,1921,RFn,349,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2008,WD,Normal,515188.5419670644
60,RL,17405,1920,9,8,Gd,PConc,1025,3546,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1978,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,707,0,0,0,0,2,1,2,1,TA,7,Typ,2,,Attchd,1961,RFn,281,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,WD,Normal,589409.5713919343
30,RL,9601,1998,8,10,TA,BrkTil,2251,1323,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1968,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2997,0,0,0,0,1,1,1,1,TA,3,Typ,2,,Attchd,1978,RFn,292,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,Normal,478702.04494730383
90,RM,1894,1956,8,7,Gd,BrkTil,661,3931,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1967,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,594,0,0,0,0,2,1,2,1,TA,8,Typ,1,,Attchd,1925,RFn,268,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2010,WD,Normal,589800.5810671966
50,RL,1514,2016,6,1,Po,Slab,804,2932,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1927,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2383,0,0,0,0,3,0,3,1,TA,4,Typ,1,,Attchd,1917,RFn,196,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2010,WD,Normal,500041.7500029898
70,C,5109,1952,4,4,TA,PConc,2451,555,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1952,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,977,0,0,0,0,1,1,2,1,TA,4,Typ,1,,Attchd,1947,RFn,536,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2006,WD,Normal,364696.4573000855
70,RH,14258,1945,8,4,TA,BrkTil,535,617,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2015,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1261,0,0,0,0,2,1,4,1,TA,5,Typ,2,,Attchd,1908,RFn,652,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2008,WD,Normal,448838.9852566568
30,RM,16313,2015,3,5,TA,BrkTil,1391,3447,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1950,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,689,0,0,0,0,3,0,2,1,TA,3,Typ,2,,Attchd,1900,RFn,734,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2010,WD,Normal,472049.8044578682
90,RL,16349,1913,9,10,Gd,Slab,1235,3824,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1952,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2007,0,0,0,0,2,1,4,1,TA,8,Typ,0,,Attchd,2006,RFn,19,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2010,WD,Normal,598180.1323891972
50,C,8179,1999,2,6,Fa,CBlock,2624,1297,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1903,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2256,0,0,0,0,1,1,4,1,TA,7,Typ,2,,Attchd,1908,RFn,758,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2009,WD,Normal,348218.1029836343
60,C,11326,1975,2,4,Po,PConc,2810,1279,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1978,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2059,0,0,0,0,1,0,3,1,TA,7,Typ,2,,Attchd,1922,RFn,712,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2006,WD,Normal,363978.0835211957
20,RL,12787,1916,7,2,TA,BrkTil,1920,3563,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1916,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1255,0,0,0,0,1,0,2,1,TA,9,Typ,1,,Attchd,2006,RFn,404,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD,Normal,555642.6154742185
50,RH,2560,1938,10,6,Fa,Slab,2164,3350,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2007,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1946,0,0,0,0,1,1,2,1,TA,6,Typ,0,,Attchd,1944,RFn,114,TA,TA,Y,0,0,0,0,0,0,,,,0,1,2007,WD,Normal,612246.9501771481
30,RL,14612,1908,4,8,Po,Slab,627,3392,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1966,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1335,0,0,0,0,1,0,5,1,TA,5,Typ,0,,Attchd,1901,RFn,700,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2008,WD,Normal,493649.2174102803
70,RM,18650,1998,10,8,Po,Slab,748,3751,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1973,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2163,0,0,0,0,2,1,5,1,TA,8,Typ,0,,Attchd,1913,RFn,25,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2008,WD,Normal,639088.4780235862
60,RL,5780,1976,8,7,TA,BrkTil,104,1938,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1946,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2128,0,0,0,0,1,1,1,1,TA,8,Typ,1,,Attchd,1937,RFn,565,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2009,WD,Normal,519440.71144003415
50,C,19311,1978,9,6,TA,PConc,2542,2393,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2005,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2335,0,0,0,0,1,1,4,1,TA,9,Typ,0,,Attchd,1939,RFn,681,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2008,WD,Normal,540251.0897127726
20,RL,12894,1981,7,2,Gd,CBlock,45,3806,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1955,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,632,0,0,0,0,3,0,3,1,TA,9,Typ,0,,Attchd,1962,RFn,394,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,WD,Normal,577377.9322904858
20,RH,3356,2014,5,7,Fa,PConc,2870,3402,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1922,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,554,0,0,0,0,1,1,5,1,TA,7,Typ,1,,Attchd,1981,RFn,380,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2009,WD,Normal,523824.2569959737
40,FV,5790,1996,8,5,Fa,Slab,1354,1207,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1917,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1009,0,0,0,0,3,1,2,1,TA,6,Typ,0,,Attchd,1915,RFn,522,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2010,WD,Normal,469460.0429883431
40,RL,17690,1905,4,6,TA,Slab,1239,1603,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1900,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1169,0,0,0,0,3,0,1,1,TA,7,Typ,2,,Attchd,2016,RFn,538,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2007,WD,Normal,388458.98792488954
80,RH,11181,1990,2,10,Po,CBlock,981,521,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1934,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2957,0,0,0,0,3,1,3,1,TA,6,Typ,2,,Attchd,1992,RFn,82,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,WD,Normal,300324.64483139967
30,RH,8057,1922,6,8,TA,PConc,959,2000,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1963,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2189,0,0,0,0,2,1,2,1,TA,4,Typ,2,,Attchd,2007,RFn,549,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2006,WD,Normal,447265.2272249485
90,C,17082,1958,9,8,Po,Slab,1515,1342,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2016,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1816,0,0,0,0,2,1,2,1,TA,8,Typ,2,,Attchd,1974,RFn,444,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2006,WD,Normal,500162.5474984246
50,RH,1661,1990,1,3,Po,Slab,1836,2260,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1957,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1233,0,0,0,0,3,1,4,1,TA,9,Typ,2,,Attchd,1905,RFn,86,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2007,WD,Normal,373795.9700931065
50,RH,5644,1997,10,7,TA,PConc,2892,1616,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1994,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2193,0,0,0,0,2,1,4,1,TA,4,Typ,2,,Attchd,1902,RFn,386,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2009,WD,Normal,535192.749039413
90,RH,16711,2019,7,1,Ex,Slab,2496,691,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1958,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,758,0,0,0,0,1,1,5,1,TA,7,Typ,2,,Attchd,1913,RFn,667,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2007,WD,Normal,427317.43037818203
80,RH,3920,1945,10,1,Fa,PConc,2583,1518,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,2007,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1645,0,0,0,0,2,0,5,1,TA,5,Typ,2,,Attchd,1965,RFn,397,TA,TA,Y,0,0,0,0,0,0,,,,0,12,2010,WD,Normal,510651.42864478356
70,RM,17002,1937,9,7,Po,Slab,2558,1626,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1900,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,798,0,0,0,0,1,1,2,1,TA,3,Typ,2,,Attchd,1995,RFn,285,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2006,WD,Normal,495501.0093082043
70,RM,15025,1913,10,10,Po,PConc,1481,895,2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1902,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1060,0,0,0,0,1,1,2,1,TA,5,Typ,1,,Attchd,1994,RFn,697,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2008,WD,Normal,487390.131604141
80,C,9946,1999,9,9,Ex,CBlock,1559,3578,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1966,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2412,0,0,0,0,2,0,5,1,TA,5,Typ,1,,Attchd,1974,RFn,693,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2006,WD,Normal,609576.8470956229
70,RL,13732,2016,10,7,Gd,Slab,2587,3187,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1936,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2364,0,0,0,0,2,1,5,1,TA,3,Typ,2,,Attchd,1985,RFn,368,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2009,WD,Normal,615870.3223627708
40,RH,7236,1971,3,10,Ex,CBlock,1507,1518,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1982,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,796,0,0,0,0,3,1,2,1,TA,8,Typ,1,,Attchd,1966,RFn,654,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2007,WD,Normal,378424.95442221407
50,RL,17309,1961,5,5,Ex,Slab,2063,1066,1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1928,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2909,0,0,0,0,2,0,3,1,TA,4,Typ,1,,Attchd,2013,RFn,421,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2006,WD,Normal,390932.92220992304
80,RL,14518,1934,8,8,Po,Slab,2000,730,3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1988,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,1961,0,0,0,0,2,0,2,1,TA,4,Typ,2,,Attchd,1930,RFn,717,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2008,WD,Normal,440998.70524995285
50,C,1352,1918,8,2,Fa,BrkTil,2290,1373,0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,1932,Gable,CompShg,VinylSd,VinylSd,,0,TA,,,,,0,,0,0,GasA,Gd,Y,SBrkr,2674,0,0,0,0,2,0,3,1,TA,8,Typ,2,,Attchd,1932,RFn,653,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2008,WD,Normal,484649.1912444661
